"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64113","ZCTA5 64113","401","184","163","85","16","17","19","20","26","28","6","10","5","7","4","8","0","18","0","18","13","21","23","26","40","30","0","18","11","19","0","18","238","113","27","27","0","18","18","19","17","26","0","18","0","18","30","25","8","13","24","20","40","32","38","35","17","27","6","9","13","14"
"8600000US64114","ZCTA5 64114","1672","424","820","223","84","54","61","49","145","78","40","32","13","22","31","32","37","35","96","89","158","79","86","54","41","32","13","21","15","17","0","21","852","253","153","102","69","43","121","76","8","13","0","21","49","44","78","51","98","93","90","69","50","35","66","38","21","25","49","52","0","21"
"8600000US64116","ZCTA5 64116","1443","371","734","206","18","27","23","20","60","62","29","34","29","38","33","39","106","72","22","39","111","110","162","85","116","68","25","32","0","18","0","18","709","241","38","62","26","30","118","87","80","58","28","38","48","54","65","67","46","51","30","38","163","88","52","47","15","18","0","18","0","18"
"8600000US64117","ZCTA5 64117","1479","338","612","197","56","59","12","21","47","49","18","27","0","18","46","64","11","18","77","72","104","82","188","89","12","14","41","50","0","18","0","18","867","200","95","75","35","34","53","38","46","39","0","18","81","60","30","33","136","107","130","60","141","59","53","39","40","28","27","38","0","18"
"8600000US64118","ZCTA5 64118","4183","609","2207","373","250","127","255","121","344","116","95","48","0","24","123","127","185","87","182","97","306","107","132","102","169","73","79","61","86","46","1","2","1976","374","204","124","371","149","124","67","41","37","18","17","224","111","239","99","126","114","276","105","108","57","156","67","37","30","52","48","0","24"
"8600000US64119","ZCTA5 64119","2266","501","903","224","157","93","68","45","64","52","32","22","0","21","95","80","119","51","81","59","135","81","47","42","47","53","30","30","21","20","7","11","1363","408","174","92","33","21","193","176","29","24","80","66","121","97","133","87","125","75","197","107","150","95","43","28","29","24","56","43","0","21"
"8600000US64120","ZCTA5 64120","167","182","77","91","4","8","4","8","25","33","19","26","0","11","0","11","0","11","0","11","18","30","0","11","5","11","2","6","0","11","0","11","90","93","0","11","42","60","4","8","0","11","0","11","0","11","0","11","4","10","18","25","5","12","0","11","17","22","0","11","0","11"
"8600000US64123","ZCTA5 64123","4043","711","2102","445","217","112","167","105","270","151","157","89","55","78","147","103","217","133","199","102","325","152","193","115","87","74","68","43","0","16","0","16","1941","377","54","43","251","139","245","111","246","129","63","41","55","55","135","88","199","102","276","113","199","102","128","69","36","35","25","33","29","43"
"8600000US64124","ZCTA5 64124","4416","817","2251","481","215","111","148","94","266","112","156","79","121","69","127","78","99","78","143","78","286","110","347","148","167","91","114","87","50","34","12","19","2165","441","159","92","263","132","283","139","99","72","86","78","153","70","102","61","93","72","399","132","189","95","223","105","94","70","14","17","8","13"
"8600000US64125","ZCTA5 64125","693","232","318","120","6","8","13","17","58","43","16","19","10","15","53","41","24","36","14","21","32","35","67","36","8","12","0","11","17","20","0","11","375","146","34","33","73","73","10","16","34","21","0","11","9","13","68","46","38","48","59","38","23","20","13","14","14","20","0","11","0","11"
"8600000US64126","ZCTA5 64126","3828","773","2165","425","222","180","366","169","374","141","137","88","57","46","80","56","69","64","103","83","401","149","226","113","104","67","20","27","0","16","6","10","1663","435","192","115","192","144","203","128","140","82","149","90","97","81","122","95","106","76","250","112","92","74","67","51","49","62","4","8","0","16"
"8600000US64127","ZCTA5 64127","4427","764","2140","420","363","166","258","121","157","102","137","77","80","49","115","71","210","116","136","85","365","130","178","67","83","49","23","21","7","10","28","35","2287","502","372","169","220","140","337","125","164","86","48","50","177","85","117","87","157","130","364","86","150","66","146","76","0","18","24","31","11","13"
"8600000US64128","ZCTA5 64128","884","311","478","166","23","32","46","64","87","54","17","22","0","18","30","32","3","8","7","10","55","44","63","43","96","55","51","42","0","18","0","18","406","188","32","39","59","43","67","67","16","18","17","26","15","23","15","17","73","55","25","23","40","36","27","33","8","12","0","18","12","19"
