"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64129","ZCTA5 64129","59","52","23","21","0","16","0","16","0","16","0","16","0","16","14","16","0","16","0","16","0","16","0","16","9","14","0","16","0","16","0","16","36","37","0","16","0","16","0","16","12","16","0","16","24","27","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"8600000US64130","ZCTA5 64130","81","66","26","30","0","21","8","14","0","21","0","21","0","21","0","21","10","16","0","21","8","12","0","21","0","21","0","21","0","21","0","21","55","45","0","21","10","15","0","21","0","21","0","21","10","16","0","21","0","21","8","13","0","21","10","16","0","21","17","26","0","21"
"8600000US64131","ZCTA5 64131","401","176","149","110","13","21","0","21","0","21","0","21","0","21","0","21","20","23","0","21","85","100","6","9","25","29","0","21","0","21","0","21","252","140","0","21","0","21","0","21","41","46","0","21","0","21","66","59","0","21","46","39","6","10","62","61","0","21","28","41","3","6"
"8600000US64132","ZCTA5 64132","23","24","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","23","24","0","18","0","18","0","18","0","18","0","18","4","9","0","18","0","18","19","22","0","18","0","18","0","18","0","18","0","18"
"8600000US64133","ZCTA5 64133","268","123","108","55","0","24","5","10","30","25","0","24","0","24","0","24","7","10","0","24","21","22","0","24","18","25","27","28","0","24","0","24","160","95","0","24","38","44","6","10","9","14","0","24","0","24","0","24","29","26","21","16","0","24","57","38","0","24","0","24","0","24"
"8600000US64134","ZCTA5 64134","238","193","172","141","34","54","18","25","0","21","0","21","2","6","55","61","18","26","23","35","6","11","2","15","14","17","0","21","0","21","0","21","66","64","2","14","0","21","0","21","2","10","6","12","25","39","8","16","0","21","0","21","3","12","15","20","0","21","0","21","5","7"
"8600000US64136","ZCTA5 64136","101","120","47","68","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","25","0","11","0","11","14","21","0","11","16","24","0","11","54","57","0","11","0","11","0","11","0","11","0","11","0","11","18","26","0","11","0","11","0","11","16","23","0","11","0","11","20","30"
"8600000US64137","ZCTA5 64137","287","148","179","102","0","18","21","32","0","18","0","18","0","18","5","9","46","35","45","40","9","13","53","61","0","18","0","18","0","18","0","18","108","63","0","18","0","18","0","18","7","12","0","18","0","18","12","18","14","17","15","16","44","37","8","14","0","18","8","15","0","18"
"8600000US64138","ZCTA5 64138","353","177","143","84","16","25","15","22","6","13","3","12","1","4","19","29","0","21","0","21","26","26","30","30","10","15","7","11","10","15","0","21","210","103","9","14","2","8","6","22","10","17","1","6","10","16","21","26","0","21","53","44","72","53","12","17","3","8","11","18","0","21"
"8600000US64139","ZCTA5 64139","11","17","11","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","7","0","11","6","13","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64145","ZCTA5 64145","88","70","33","34","0","16","0","16","0","16","0","16","0","16","4","8","0","16","0","16","11","16","0","16","6","10","0","16","12","16","0","16","55","44","0","16","0","16","0","16","0","16","0","16","4","7","0","16","0","16","4","8","0","16","20","27","27","29","0","16","0","16"
"8600000US64146","ZCTA5 64146","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64147","ZCTA5 64147","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64149","ZCTA5 64149","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64150","ZCTA5 64150","139","142","118","115","0","11","17","24","0","11","0","11","50","69","0","11","0","11","37","43","14","21","0","11","0","11","0","11","0","11","0","11","21","29","0","11","0","11","10","16","0","11","0","11","0","11","0","11","0","11","11","14","0","11","0","11","0","11","0","11","0","11"
"8600000US64151","ZCTA5 64151","544","217","209","124","7","12","19","29","0","21","0","21","0","21","15","26","9","15","10","14","81","78","0","21","0","21","61","57","7","17","0","21","335","118","0","21","0","21","12","18","0","21","0","21","53","47","49","35","10","14","63","62","60","42","26","30","46","51","16","24","0","21"
"8600000US64152","ZCTA5 64152","718","285","317","154","0","21","21","30","25","30","0","21","7","12","56","81","6","12","0","21","17","29","23","28","79","69","6","9","77","84","0","21","401","159","0","21","0","21","24","44","0","21","3","7","39","45","50","72","0","21","39","39","132","101","32","35","82","74","0","21","0","21"
"8600000US64153","ZCTA5 64153","255","187","111","75","0","16","0","16","0","16","11","23","0","16","0","16","0","16","16","29","43","47","41","45","0","16","0","16","0","16","0","16","144","121","19","31","22","33","12","20","23","34","0","16","0","16","12","22","13","21","12","19","31","36","0","16","0","16","0","16","0","16"
"8600000US64154","ZCTA5 64154","755","286","413","174","17","31","35","35","80","69","0","18","10","17","97","120","29","46","6","9","100","65","26","27","13","20","0","18","0","18","0","18","342","144","6","12","18","23","0","18","12","21","9","14","15","27","59","54","46","39","57","50","46","57","28","42","46","73","0","18","0","18"
"8600000US64155","ZCTA5 64155","500","206","242","121","0","21","17","25","0","21","56","36","57","87","12","20","17","28","27","45","26","26","30","35","0","21","0","21","0","21","0","21","258","143","0","21","10","20","59","52","8","14","42","47","0","21","0","21","26","45","27","33","48","38","19","27","19","21","0","21","0","21"
"8600000US64156","ZCTA5 64156","38","64","25","45","0","16","0","16","0","16","0","16","0","16","0","16","0","16","25","45","0","16","0","16","0","16","0","16","0","16","0","16","13","21","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","13","21","0","16","0","16","0","16"
"8600000US64157","ZCTA5 64157","592","227","304","159","27","31","20","30","58","83","0","21","0","21","0","21","0","21","19","34","74","54","45","39","46","41","0","21","0","21","15","25","288","107","0","21","0","21","15","17","15","23","10","17","0","21","45","72","0","21","91","67","63","75","14","16","13","20","22","33","0","21"
"8600000US64158","ZCTA5 64158","271","197","109","95","0","16","50","43","0","16","0","16","0","16","0","16","0","16","0","16","14","23","0","16","25","38","0","16","20","24","0","16","162","112","0","16","0","16","22","24","19","28","0","16","0","16","0","16","0","16","39","37","48","51","15","24","19","28","0","16","0","16"
"8600000US64161","ZCTA5 64161","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64163","ZCTA5 64163","78","109","41","55","0","11","23","31","0","11","0","11","0","11","0","11","3","6","15","26","0","11","0","11","0","11","0","11","0","11","0","11","37","55","22","33","0","11","0","11","0","11","0","11","0","11","0","11","15","23","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64164","ZCTA5 64164","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64165","ZCTA5 64165","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64166","ZCTA5 64166","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64167","ZCTA5 64167","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
