"GEO_ID","NAME","B01001G_001E","B01001G_001M","B01001G_002E","B01001G_002M","B01001G_003E","B01001G_003M","B01001G_004E","B01001G_004M","B01001G_005E","B01001G_005M","B01001G_006E","B01001G_006M","B01001G_007E","B01001G_007M","B01001G_008E","B01001G_008M","B01001G_009E","B01001G_009M","B01001G_010E","B01001G_010M","B01001G_011E","B01001G_011M","B01001G_012E","B01001G_012M","B01001G_013E","B01001G_013M","B01001G_014E","B01001G_014M","B01001G_015E","B01001G_015M","B01001G_016E","B01001G_016M","B01001G_017E","B01001G_017M","B01001G_018E","B01001G_018M","B01001G_019E","B01001G_019M","B01001G_020E","B01001G_020M","B01001G_021E","B01001G_021M","B01001G_022E","B01001G_022M","B01001G_023E","B01001G_023M","B01001G_024E","B01001G_024M","B01001G_025E","B01001G_025M","B01001G_026E","B01001G_026M","B01001G_027E","B01001G_027M","B01001G_028E","B01001G_028M","B01001G_029E","B01001G_029M","B01001G_030E","B01001G_030M","B01001G_031E","B01001G_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64113","ZCTA5 64113","320","149","153","76","34","28","22","18","0","18","0","18","0","18","0","18","37","39","27","31","14","18","19","29","0","18","0","18","0","18","0","18","167","118","58","66","18","19","0","18","0","18","0","18","0","18","7","11","0","18","46","60","20","32","0","18","18","28","0","18","0","18"
"8600000US64114","ZCTA5 64114","1390","488","444","163","100","69","18","24","65","63","59","50","0","21","12","12","29","30","41","37","50","58","23","26","4","8","32","48","11","18","0","21","946","427","148","95","367","280","0","21","0","21","0","21","23","28","134","152","45","35","184","141","21","22","0","21","0","21","13","20","11","17"
"8600000US64116","ZCTA5 64116","684","309","406","256","46","74","52","87","10","38","14","22","9","35","54","79","7","11","52","60","113","113","18","30","21","34","10","16","0","18","0","18","278","141","51","58","8","19","41","54","0","18","0","18","19","31","0","18","30","47","33","58","59","84","37","51","0","18","0","18","0","18"
"8600000US64117","ZCTA5 64117","675","238","297","132","35","34","85","75","36","34","4","8","0","18","6","10","21","35","0","18","64","61","44","45","2","3","0","18","0","18","0","18","378","159","129","76","74","72","21","22","5","9","0","18","29","29","0","18","38","38","24","28","41","59","16","25","1","2","0","18","0","18"
"8600000US64118","ZCTA5 64118","1766","453","1035","315","268","178","158","131","63","58","60","61","63","43","35","45","91","64","59","55","101","88","45","33","68","45","24","25","0","24","0","24","731","240","86","67","113","88","48","46","146","96","0","24","63","57","36","44","82","67","72","72","59","60","20","31","6","9","0","24","0","24"
"8600000US64119","ZCTA5 64119","1744","505","887","339","258","198","33","35","109","59","135","102","37","40","79","92","9","14","124","128","20","25","36","35","32","29","15","19","0","21","0","21","857","306","85","78","103","75","178","175","24","36","53","63","60","75","95","79","0","21","81","50","143","116","23","24","0","21","12","14","0","21"
"8600000US64120","ZCTA5 64120","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64123","ZCTA5 64123","656","330","277","152","59","73","9","18","32","43","11","19","41","52","10","20","0","16","0","16","52","59","9","16","38","42","0","16","16","25","0","16","379","220","16","24","25","32","49","49","79","90","79","82","0","16","38","56","0","16","30","34","51","67","12","18","0","16","0","16","0","16"
"8600000US64124","ZCTA5 64124","359","155","182","113","88","98","16","23","20","25","7","12","9","14","7","11","12","18","0","18","11","14","4","6","8","11","0","18","0","18","0","18","177","97","62","68","38","49","8","11","6","10","0","18","24","26","0","18","7","11","24","28","0","18","8","12","0","18","0","18","0","18"
"8600000US64125","ZCTA5 64125","29","30","6","8","6","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","27","0","11","6","9","0","11","8","14","0","11","9","13","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64126","ZCTA5 64126","184","121","90","73","55","50","16","23","0","16","0","16","7","12","0","16","12","20","0","16","0","16","0","16","0","16","0","16","0","16","0","16","94","73","16","22","0","16","0","16","0","16","44","53","6","13","0","16","0","16","28","43","0","16","0","16","0","16","0","16","0","16"
"8600000US64127","ZCTA5 64127","326","141","160","81","8","12","22","24","29","26","15","24","16","25","0","18","0","18","0","18","44","36","8","16","9","15","9","13","0","18","0","18","166","76","9","14","21","22","8","14","0","18","13","19","22","25","4","11","21","24","30","29","17","20","21","32","0","18","0","18","0","18"
"8600000US64128","ZCTA5 64128","344","133","202","82","22","24","11","17","0","18","0","18","15","23","11","18","11","17","0","18","32","39","51","37","28","23","15","17","0","18","6","9","142","82","15","19","21","24","0","18","3","7","7","10","0","18","5","8","30","43","24","27","21","28","0","18","10","14","0","18","6","10"
