"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 18 years:","Margin of Error!!Total:!!Male:!!Under 18 years:","Estimate!!Total:!!Male:!!Under 18 years:!!Native","Margin of Error!!Total:!!Male:!!Under 18 years:!!Native","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:","Margin of Error!!Total:!!Male:!!18 years and over:","Estimate!!Total:!!Male:!!18 years and over:!!Native","Margin of Error!!Total:!!Male:!!18 years and over:!!Native","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 18 years:","Margin of Error!!Total:!!Female:!!Under 18 years:","Estimate!!Total:!!Female:!!Under 18 years:!!Native","Margin of Error!!Total:!!Female:!!Under 18 years:!!Native","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:","Margin of Error!!Total:!!Female:!!18 years and over:","Estimate!!Total:!!Female:!!18 years and over:!!Native","Margin of Error!!Total:!!Female:!!18 years and over:!!Native","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"8600000US64151","ZCTA5 64151","27061","904","13196","576","3112","380","3055","375","57","61","48","57","9","17","10084","450","9351","448","733","219","403","155","330","162","13865","659","2764","396","2701","398","63","77","52","76","11","18","11101","467","10206","442","895","201","502","147","393","118"
"8600000US64152","ZCTA5 64152","29029","659","14431","558","3441","331","3380","331","61","66","19","22","42","60","10990","478","10445","515","545","217","264","139","281","142","14598","550","3762","311","3707","326","55","91","55","91","0","21","10836","428","10275","414","561","164","472","157","89","53"
"8600000US64153","ZCTA5 64153","5725","456","2869","308","720","206","683","195","37","50","37","50","0","16","2149","223","1973","231","176","104","98","72","78","67","2856","324","813","208","784","205","29","34","18","27","11","23","2043","213","1821","230","222","89","63","58","159","79"
"8600000US64154","ZCTA5 64154","11258","709","5329","442","1265","210","1159","223","106","77","54","64","52","44","4064","342","3616","377","448","184","294","156","154","93","5929","501","1243","233","1196","236","47","47","0","18","47","47","4686","367","4054","328","632","182","348","143","284","136"
"8600000US64155","ZCTA5 64155","23905","958","11644","552","2846","325","2766","335","80","80","65","61","15","25","8798","476","8256","508","542","217","464","188","78","79","12261","691","2975","389","2893","391","82","51","68","50","14","15","9286","491","8704","470","582","194","331","141","251","121"
"8600000US64156","ZCTA5 64156","8168","598","3846","412","1297","266","1290","268","7","12","7","12","0","16","2549","272","2366","250","183","107","183","107","0","16","4322","396","1342","198","1328","200","14","23","0","16","14","23","2980","276","2857","291","123","84","40","36","83","78"
"8600000US64157","ZCTA5 64157","20051","634","9468","496","3512","375","3502","375","10","14","0","21","10","14","5956","273","5605","268","351","144","224","110","127","97","10583","466","3729","359","3699","362","30","38","30","38","0","21","6854","348","6282","341","572","198","356","133","216","150"
"8600000US64158","ZCTA5 64158","5096","454","2627","339","790","190","790","190","0","16","0","16","0","16","1837","269","1719","277","118","86","85","63","33","52","2469","302","671","159","640","147","31","43","31","43","0","16","1798","242","1660","278","138","92","123","89","15","23"
"8600000US64161","ZCTA5 64161","359","109","196","65","32","24","32","24","0","11","0","11","0","11","164","55","155","58","9","16","0","11","9","16","163","62","22","17","22","17","0","11","0","11","0","11","141","56","134","58","7","11","0","11","7","11"
"8600000US64163","ZCTA5 64163","870","211","430","110","52","38","52","38","0","11","0","11","0","11","378","105","341","105","37","45","0","11","37","45","440","118","56","40","56","40","0","11","0","11","0","11","384","101","345","91","39","62","0","11","39","62"
"8600000US64164","ZCTA5 64164","238","188","101","82","13","20","13","20","0","11","0","11","0","11","88","74","88","74","0","11","0","11","0","11","137","113","0","11","0","11","0","11","0","11","0","11","137","113","137","113","0","11","0","11","0","11"
"8600000US64165","ZCTA5 64165","503","353","224","149","96","101","96","101","0","11","0","11","0","11","128","86","128","86","0","11","0","11","0","11","279","235","160","158","160","158","0","11","0","11","0","11","119","82","119","82","0","11","0","11","0","11"
"8600000US64166","ZCTA5 64166","199","110","111","66","0","11","0","11","0","11","0","11","0","11","111","66","111","66","0","11","0","11","0","11","88","46","0","11","0","11","0","11","0","11","0","11","88","46","88","46","0","11","0","11","0","11"
"8600000US64167","ZCTA5 64167","572","213","280","95","87","62","87","62","0","11","0","11","0","11","193","68","193","68","0","11","0","11","0","11","292","144","38","42","21","32","17","26","17","26","0","11","254","119","254","119","0","11","0","11","0","11"
