"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"8600000US64124","ZCTA5 64124","11366","1145","5410","832","2531","761","147","135","765","268","0","18","2154","537","359","155","56","45","303","140"
"8600000US64125","ZCTA5 64125","1740","438","1264","381","167","135","14","20","7","9","0","11","259","134","29","30","12","17","17","27"
"8600000US64126","ZCTA5 64126","6606","856","3121","560","1163","503","30","36","77","58","0","16","2031","799","184","121","87","89","97","76"
"8600000US64127","ZCTA5 64127","15772","1025","4842","801","7999","911","62","52","208","169","32","50","2303","664","326","141","100","89","226","120"
"8600000US64128","ZCTA5 64128","11844","768","1641","419","9565","707","29","27","14","20","57","57","194","113","344","133","59","58","285","114"
"8600000US64129","ZCTA5 64129","8615","737","4436","561","3834","535","25","38","59","52","10","15","116","99","135","72","0","16","135","72"
"8600000US64130","ZCTA5 64130","20170","1408","1848","456","17689","1328","42","39","81","66","7","12","196","162","307","123","18","31","289","121"
"8600000US64131","ZCTA5 64131","22676","1606","11491","1310","9329","1003","28","34","401","176","62","58","666","514","699","186","30","37","669","185"
"8600000US64132","ZCTA5 64132","14206","1187","2561","426","10551","1093","10","15","23","24","0","18","632","441","429","221","18","21","411","217"
"8600000US64133","ZCTA5 64133","34958","1176","20458","1064","11740","1083","41","31","268","123","0","24","1424","636","1027","286","113","81","914","274"
"8600000US64134","ZCTA5 64134","23219","1319","7254","629","14594","1266","33","32","238","193","0","21","585","374","515","185","66","69","449","171"
"8600000US64136","ZCTA5 64136","2089","437","1282","367","691","284","0","11","101","120","0","11","0","11","15","23","0","11","15","23"
"8600000US64137","ZCTA5 64137","10961","741","6895","785","3154","620","40","49","287","148","39","65","315","246","231","151","65","102","166","101"
"8600000US64138","ZCTA5 64138","25417","1099","11042","835","11571","1059","108","76","353","177","78","64","990","516","1275","555","246","284","1029","399"
"8600000US64139","ZCTA5 64139","2362","438","1768","406","517","207","0","11","11","17","0","11","0","11","66","68","0","11","66","68"
"8600000US64145","ZCTA5 64145","5060","424","4091","344","526","243","34","42","88","70","0","16","46","48","275","214","11","17","264","215"
"8600000US64146","ZCTA5 64146","1618","286","1217","279","244","170","0","11","0","11","0","11","28","46","129","114","0","11","129","114"
"8600000US64147","ZCTA5 64147","602","186","168","67","324","181","31","55","0","11","0","11","0","11","79","93","0","11","79","93"
"8600000US64149","ZCTA5 64149","330","126","326","125","0","11","4","6","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64150","ZCTA5 64150","3427","55","2567","257","470","212","38","56","139","142","0","11","93","128","120","86","0","11","120","86"
"8600000US64151","ZCTA5 64151","27061","904","22100","1008","2775","494","117","74","544","217","50","51","204","122","1271","409","100","47","1171","405"
"8600000US64152","ZCTA5 64152","29029","659","25783","846","1240","376","63","43","718","285","7","14","263","139","955","365","151","127","804","340"
"8600000US64153","ZCTA5 64153","5725","456","4478","480","534","207","13","21","255","187","350","256","0","16","95","81","0","16","95","81"
"8600000US64154","ZCTA5 64154","11258","709","8621","624","1280","403","29","38","755","286","0","18","133","98","440","150","28","33","412","141"
